Date;Day;MUC Total;Active Cases;MUC Recovered;Deaths (sum);MUC New Infections;Correction;RKI New Infections;Diff MUC RKI;Diff same day last week;Active Cases (change);Recovered (change);Death (change);MUC 7 day sum;RKI 7 day sum;DIFF 7DI;MUC 7 Day Incidence;RKI 7 Day Incidence;Official RKI 7D Inc;To 10;To 35;To 50;To 100;Test Pos Rate BY;Daily Tests BY;Daily Test BY Pos;Daily test avg 7 days;Beds;ICU;IMC;Diff 7 Day Incidence;Naive R(t) 4D;Naive R(t) 7D;Diff 7D DoD;Diff 7D WoW;Var Lab WoW;Active WoW;RKI Total;Diff Total;RKI 7D Diff last week;7D avg weekly chg;BAV 1st Vacc Total;BAV 2nd Vacc Total;BAV 3rd Vacc Total;BAV 4th Vacc Total;BAV 1st Vacc %;BAV 1st Vacc Day;BAV 1st Vacc Avg;BAV 1st Vacc 7D;BAV 2nd Vacc %;BAV 2nd Vacc Day;BAV 2nd Vacc Avg;BAV 2nd Vacc 7D;BAV 3rd Vacc %;BAV 3rd Vacc Day;BAV 3rd Vacc Avg;BAV 3rd Vacc 7D;BAV 4th Vacc %;BAV 4th Vacc Day;BAV 4th Vacc Avg;BAV 4th Vacc 7D;MUC 1st Vacc Total;MUC 1st Vacc Day;MUC 1st Vacc%;MUC 2nd Vacc Total;MUC 2nd Vacc Day;MUC 2nd Vacc%;MUC 3rd Vacc Total;MUC 3rd Vacc Day;MUC 3rd Vacc%;MUC 4th Vacc Total;MUC 4th Vacc Day;MUC 4th Vacc %;LGL 7D Hospital;Hospital Incidence;LGL ICU;IVENA Total;% 7D SUM of IVENA;YELLOW %;RED %;7D DIFF TOTAL;ICU to Total %
2020-02-28;Fri, 28;5;2;3;0;2;0;5;-3;;;;;;;;0,0;0,0;;147;518;741;1482;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-02-29;Sat, 29;5;2;3;0;0;0;0;0;;0;0;0;2;5;;0,1;0,3;;144;515;738;1479;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-01;Sun, 1;5;2;3;0;0;0;0;0;;0;0;0;2;5;;0,1;0,3;;144;515;738;1479;;;;;;;;;;;0 %;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-02;Mon, 2;8;5;3;0;3;0;3;0;;3;0;0;5;8;;0,3;0,5;;141;512;735;1476;;;;;;;;;;;60 %;;;;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-03;Tue, 3;9;6;3;0;1;0;1;0;;1;0;0;6;9;;0,4;0,6;;140;511;734;1475;;;;;;;;;;;13 %;;;;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-04;Wed, 4;12;9;3;0;3;0;3;0;;3;0;0;9;12;;0,6;0,8;;137;508;731;1472;;;;;;;;;;;33 %;;;;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-05;Thu, 5;14;11;3;0;2;0;2;0;;2;0;0;11;14;;0,7;0,9;;140;511;734;1475;;;;;;;;;;;17 %;;;;14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-06;Fri, 6;27;24;3;0;13;0;13;0;160,0 %;13;0;0;22;22;;1,5;1,5;;127;498;721;1462;;;;;;;;;;;57 %;;;;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-07;Sat, 7;27;24;3;0;0;0;0;0;;0;0;0;22;22;;1,5;1,5;;127;498;721;1462;;;;;;;;;2,59;;0 %;340,0 %;;22;27;0;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-08;Sun, 8;27;24;3;0;0;0;0;0;;0;0;0;22;22;;1,5;1,5;;130;501;724;1465;;;;;;;;;2,35;;0 %;340,0 %;;22;27;0;17;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-09;Mon, 9;50;47;3;0;23;0;23;0;666,7 %;23;0;0;42;42;;2,8;2,8;;108;479;702;1443;;;;;;;;;2,51;2,70;91 %;425,0 %;;42;50;0;34;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-10;Tue, 10;81;78;3;0;31;0;31;0;3000,0 %;31;0;0;72;72;;4,9;4,9;;80;451;674;1415;;;;;;;;;2,77;2,75;71 %;700,0 %;;72;81;0;63;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-11;Wed, 11;103;100;3;0;22;0;23;-1;666,7 %;22;0;0;91;92;;6,1;6,2;;60;431;654;1395;;;;;;;;;3,26;3,11;28 %;666,7 %;;91;104;-1;80;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-12;Thu, 12;121;118;3;0;18;0;18;0;800,0 %;18;0;0;107;108;;7,2;7,3;;54;425;648;1389;;;;;;;;;3,93;3,49;17 %;671,4 %;;107;122;-1;94;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-13;Fri, 13;169;164;5;0;48;0;48;0;269,2 %;46;2;0;142;143;;9,6;9,6;;6;377;600;1341;;;;;;;;;3,84;3,50;32 %;550,0 %;;140;170;-1;121;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-14;Sat, 14;233;228;5;0;64;0;64;0;;64;0;0;206;207;;13,9;13,9;;-58;313;536;1277;;;;;;;;;3,48;3,33;45 %;840,9 %;;204;234;-1;185;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-15;Sun, 15;252;247;5;0;19;0;19;0;;19;0;0;225;226;;15,2;15,2;;-54;317;540;1281;;;;;;;;;3,00;3,11;9 %;927,3 %;;223;253;-1;204;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-16;Mon, 16;319;311;8;0;67;0;67;0;191,3 %;64;3;0;269;270;;18,1;18,2;;-90;281;504;1245;;;;;;;;;2,69;2,94;19 %;542,9 %;;264;320;-1;228;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-17;Tue, 17;463;454;9;0;144;0;144;0;364,5 %;143;1;0;382;383;;25,7;25,8;;-211;160;383;1124;;;;;;;;;2,62;2,85;42 %;431,9 %;;376;464;-1;311;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-18;Wed, 18;675;663;12;0;212;0;212;0;821,7 %;209;3;0;572;572;;38,5;38,5;;-405;-34;189;930;;;;;;;;;2,64;2,78;49 %;521,7 %;;563;676;-1;480;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-19;Thu, 19;848;834;14;0;173;0;173;0;861,1 %;171;2;0;727;727;;49,0;49,0;;-530;-159;64;805;;;;;;;;;2,85;2,84;27 %;573,1 %;;716;849;-1;619;307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;
2020-03-20;Fri, 20;1043;1016;27;0;195;0;195;0;306,3 %;182;13;0;874;874;;58,9;58,9;;-661;-290;-67;674;;;;;;;;;3,02;2,92;20 %;511,2 %;;852;1044;-1;731;394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;61;;;;10,17 %;;
2020-03-21;Sat, 21;1219;1192;27;0;176;0;176;0;175,0 %;176;0;0;986;986;;66,4;66,4;;-818;-447;-224;517;;;;;;;;;2,91;2,83;13 %;376,3 %;;964;1220;-1;779;479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;67;;;;11,17 %;;
2020-03-22;Sun, 22;1307;1280;25;2;88;0;88;0;363,2 %;88;-2;2;1055;1055;;71,1;71,1;;-839;-468;-245;496;;;;;;;;;2,51;2,55;7 %;366,8 %;;1033;1308;-1;829;568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;82;;;;13,67 %;;
2020-03-23;Mon, 23;1401;1351;48;2;94;0;94;0;40,3 %;71;23;0;1082;1082;;72,9;72,9;;-789;-418;-195;546;;;;;;;;;2,05;2,25;3 %;300,7 %;;1040;1402;-1;812;652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;94;;;;15,67 %;;
2020-03-24;Tue, 24;1570;1489;79;2;169;0;170;-1;18,1 %;138;31;0;1107;1108;;74,6;74,7;;-746;-375;-152;589;;;;;;;;;1,66;1,97;2 %;189,3 %;;1035;1572;-2;725;711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;123;;;;20,50 %;;
2020-03-25;Wed, 25;1809;1706;101;2;239;0;239;0;12,7 %;217;22;0;1134;1135;;76,4;76,5;;-813;-442;-219;522;;;;;;;;;1,39;1,73;2 %;98,4 %;;1043;1811;-2;563;723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;132;;;;22,00 %;;
2020-03-26;Thu, 26;2066;1945;118;3;257;0;257;0;48,6 %;239;17;1;1218;1219;;82,1;82,1;;-875;-504;-281;460;;;;;;;;;1,25;1,53;7 %;67,7 %;;1111;2068;-2;492;704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;145;;;;24,17 %;;
2020-03-27;Fri, 27;2323;2154;166;3;257;0;258;-1;32,3 %;209;48;0;1280;1282;;86,2;86,4;;-956;-585;-362;379;;;;;;;;;1,19;1,39;5 %;46,7 %;;1138;2326;-3;408;658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;160;;;;26,67 %;;
2020-03-28;Sat, 28;2462;2229;230;3;139;0;139;0;-21,0 %;75;64;0;1243;1245;;83,7;83,9;;-1008;-637;-414;327;;;;;;;;;1,15;1,27;-3 %;26,3 %;;1037;2465;-3;259;584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;195;;;;32,50 %;;
2020-03-29;Sun, 29;2640;2388;249;3;178;0;178;0;102,3 %;159;19;0;1333;1335;;89,8;89,9;;-1092;-721;-498;243;;;;;;;;;1,16;1,21;7 %;26,5 %;;1108;2643;-3;280;506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;219;;;;36,50 %;;
2020-03-30;Mon, 30;2754;2435;314;5;114;0;113;1;20,2 %;47;65;2;1353;1354;;91,2;91,2;;-1036;-665;-442;299;;;;;;;;;1,15;1,16;1 %;25,1 %;;1084;2756;-2;272;428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;257;;;;42,83 %;;
2020-03-31;Tue, 31;3064;2601;458;5;310;0;310;0;82,4 %;166;144;0;1494;1494;;100,7;100,7;;-1106;-735;-512;229;;;;;;;;;1,14;1,15;10 %;34,8 %;;1112;3066;-2;386;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;378;;;;63,00 %;;
2020-04-01;Wed, 1;3295;2620;666;9;231;0;231;0;-3,3 %;19;208;4;1486;1486;;100,1;100,1;;-1080;-709;-486;255;;;;;;;;;1,16;1,16;-1 %;30,9 %;;914;3297;-2;351;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;459;;;;76,50 %;;
2020-04-02;Thu, 2;3438;2590;839;9;143;0;143;0;-44,4 %;-30;173;0;1372;1372;;92,4;92,4;;-965;-594;-371;370;;;;;;;;;1,12;1,14;-8 %;12,6 %;;645;3440;-2;153;301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;534;;;;89,00 %;;
2020-04-03;Fri, 3;3616;2573;1031;12;178;0;177;1;-31,4 %;-17;192;3;1293;1291;;87,1;87,0;;-1004;-633;-410;331;;;;;;;;;1,08;1,10;-6 %;0,7 %;;419;3617;-1;9;244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;587;;;;97,83 %;;
2020-04-04;Sat, 4;3751;2532;1207;12;135;0;134;1;-3,6 %;-41;176;0;1289;1286;;86,8;86,6;;-960;-589;-366;375;;;;;;;;;1,00;1,06;-0 %;3,3 %;;303;3751;0;41;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;641;;;;106,83 %;;
2020-04-05;Sun, 5;3835;2528;1293;14;84;0;84;0;-52,8 %;-4;86;2;1195;1192;;80,5;80,3;;-930;-559;-336;405;;;;;;;;;0,91;1,01;-7 %;-10,7 %;;140;3835;0;-143;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;636;;;;106,00 %;;
2020-04-06;Mon, 6;3953;2552;1385;16;118;0;118;0;4,4 %;24;92;2;1199;1197;;80,8;80,6;;-738;-367;-144;597;;;;;;;;;0,87;0,97;0 %;-11,6 %;;117;3953;0;-157;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;626;;;;104,33 %;;
2020-04-07;Tue, 7;4094;2524;1552;18;141;0;141;0;-54,5 %;-28;167;2;1030;1028;;69,4;69,3;;-648;-277;-54;687;;;;;;;;;0,83;0,92;-14 %;-31,2 %;;-77;4094;0;-466;-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;645;;;;107,50 %;;
2020-04-08;Wed, 8;4251;2442;1785;24;157;0;155;2;-32,9 %;-82;233;6;956;952;;64,4;64,1;;-662;-291;-68;673;;;;;;;;;0,80;0,86;-7 %;-35,9 %;;-178;4249;2;-534;-157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;661;;;;110,17 %;;
2020-04-09;Thu, 9;4363;2297;2034;32;112;0;112;0;-21,7 %;-145;249;8;925;921;;62,3;62,1;;-595;-224;-1;740;;;;;;;;;0,80;0,83;-3 %;-32,9 %;;-293;4361;2;-451;-243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;661;;;;110,17 %;;
2020-04-10;Fri, 10;4461;2138;2281;42;98;0;98;0;-44,6 %;-159;247;10;845;842;;56,9;56,7;;-559;-188;35;776;;;;;;;;;0,75;0,80;-9 %;-34,8 %;;-435;4459;2;-449;-308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;630;;;;105,00 %;;
2020-04-11;Sat, 11;4565;2103;2418;44;104;0;104;0;-22,4 %;-35;137;2;814;812;;54,8;54,7;;-579;-208;15;756;;;;;;;;;0,75;0,78;-4 %;-36,9 %;;-429;4563;2;-474;-382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;649;;;;108,17 %;;
2020-04-12;Sun, 12;4637;1997;2589;51;72;0;72;0;-14,3 %;-106;171;7;802;800;;54,0;53,9;;-533;-162;61;802;;;;;;;;;0,77;0,79;-1 %;-32,9 %;;-531;4635;2;-392;-418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;668;;;;111,33 %;;
2020-04-13;Mon, 13;4698;1944;2702;52;61;0;61;0;-48,3 %;-53;113;1;745;743;;50,2;50,1;;-453;-82;141;882;;;;;;;;;0,78;0,78;-7 %;-37,9 %;;-608;4696;2;-454;-460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;672;;;;112,00 %;;
2020-04-14;Tue, 14;4784;1720;3001;63;86;0;86;0;-39,0 %;-224;299;11;690;688;;46,5;46,4;;-384;-13;210;951;;;;;;;;;0,81;0,78;-7 %;-33,1 %;;-804;4782;2;-340;-442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;676;;;;112,67 %;;
2020-04-15;Wed, 15;4892;1597;3228;67;108;0;108;0;-30,3 %;-123;227;4;641;641;;43,2;43,2;;-380;-9;214;955;;;;;;;;;0,81;0,78;-7 %;-32,7 %;;-845;4890;2;-311;-410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;662;;;;110,33 %;;
2020-04-16;Thu, 16;4986;1548;3360;78;94;0;95;-1;-15,2 %;-49;132;11;623;624;;42,0;42,0;;-376;-5;218;959;;;;;;;;;0,80;0,79;-3 %;-32,2 %;;-749;4985;1;-297;-388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;650;;;;108,33 %;;
2020-04-17;Fri, 17;5079;1463;3529;87;93;0;93;0;-5,1 %;-85;169;9;618;619;;41,6;41,7;;-366;5;228;969;;;;;;;;;0,80;0,81;-1 %;-26,5 %;;-675;5078;1;-223;-356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;683;;;;113,83 %;;
2020-04-18;Sat, 18;5125;1374;3657;94;46;0;46;0;-55,8 %;-89;128;7;560;561;;37,7;37,8;;-340;31;254;995;;;;;;;;;0,80;0,81;-9 %;-30,9 %;;-729;5124;1;-251;-324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;681;;;;113,50 %;;
2020-04-19;Sun, 19;5174;1339;3736;99;49;0;49;0;-31,9 %;-35;79;5;537;538;;36,2;36,2;;-328;43;266;1007;;;;;;;;;0,82;0,81;-4 %;-32,8 %;;-658;5173;1;-262;-305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;695;;;;115,83 %;;
2020-04-20;Mon, 20;5206;1253;3848;105;32;0;32;0;-47,5 %;-86;112;6;508;509;;34,2;34,3;;-274;97;320;1061;;;;;;;;;0,83;0,81;-5 %;-31,5 %;;-691;5205;1;-234;-274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;716;;;;119,33 %;;
2020-04-21;Tue, 21;5261;1167;3986;108;55;0;55;0;-36,0 %;-86;138;3;477;478;;32,1;32,2;;-221;150;373;1114;;;;;;;;;0,81;0,81;-6 %;-30,5 %;;-553;5260;1;-210;-255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;707;;;;117,83 %;;
2020-04-22;Wed, 22;5318;1067;4135;116;57;0;57;0;-47,2 %;-100;149;8;426;427;;28,7;28,8;;-183;188;411;1152;;;;;;;;;0,80;0,80;-11 %;-33,4 %;;-530;5317;1;-214;-242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;696;;;;116,00 %;;
2020-04-23;Thu, 23;5395;1032;4233;130;77;0;77;0;-18,9 %;-35;98;14;409;409;;27,6;27,6;;-167;204;427;1168;;;;;;;;;0,78;0,80;-4 %;-34,5 %;;-516;5394;1;-215;-230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;682;;;;113,67 %;;
2020-04-24;Fri, 24;5451;990;4324;137;56;0;56;0;-39,8 %;-42;91;7;372;372;;25,1;25,1;;-177;194;417;1158;;;;;;;;;0,76;0,79;-9 %;-39,9 %;;-473;5450;1;-247;-233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;658;;;;109,67 %;;
2020-04-25;Sat, 25;5498;933;4427;138;47;0;47;0;2,2 %;-57;103;1;373;373;;25,1;25,1;;-175;196;419;1160;;;;;;;;;0,76;0,78;0 %;-33,5 %;;-441;5497;1;-188;-224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;651;;;;108,50 %;;
2020-04-26;Sun, 26;5531;894;4495;142;33;0;33;0;-32,7 %;-39;68;4;357;357;;24,1;24,1;;-176;195;418;1159;;;;;;;;;0,77;0,78;-4 %;-33,6 %;;-445;5530;1;-181;-213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;647;;;;107,83 %;;
2020-04-27;Mon, 27;5611;913;4555;143;80;0;79;1;146,9 %;19;60;1;405;404;;27,3;27,2;;-201;170;393;1134;;;;;;;;;0,83;0,80;13 %;-20,6 %;;-340;5609;2;-105;-194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;621;;;;103,50 %;;
2020-04-28;Tue, 28;5661;877;4627;157;50;0;50;0;-9,1 %;-36;72;14;400;399;;27,0;26,9;;-193;178;401;1142;;;;;;;;;0,91;0,83;-1 %;-16,5 %;;-290;5659;2;-79;-176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;580;;;;96,67 %;;
2020-04-29;Wed, 29;5702;810;4734;158;41;0;41;0;-28,1 %;-67;107;1;384;383;;25,9;25,8;;-157;214;437;1178;;;;;;;;;0,98;0,87;-4 %;-10,3 %;;-257;5700;2;-44;-151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;554;;;;92,33 %;;
2020-04-30;Thu, 30;5746;760;4820;166;44;0;44;0;-42,9 %;-50;86;8;351;350;;23,6;23,6;;-145;226;449;1190;;;;;;;;;1,02;0,90;-9 %;-14,4 %;;-272;5744;2;-59;-129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;530;;;;88,33 %;;
2020-05-01;Fri, 1;5805;726;4911;168;59;0;59;0;5,4 %;-34;91;2;354;353;;23,9;23,8;;-157;214;437;1178;;;;;;;;;0,99;0,93;1 %;-5,1 %;;-264;5803;2;-19;-96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;520;;;;86,67 %;;
2020-05-02;Sat, 2;5838;713;4956;169;33;0;33;0;-29,8 %;-13;45;1;340;339;;22,9;22,8;;-157;214;437;1178;;;;;;;;;0,93;0,94;-4 %;-9,1 %;;-220;5836;2;-34;-74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;501;;;;83,50 %;;
2020-05-03;Sun, 3;5863;689;5005;169;25;0;25;0;-24,2 %;-24;49;0;332;331;;22,4;22,3;;-103;268;491;1232;;;;;;;;;0,89;0,95;-2 %;-7,3 %;;-205;5861;2;-26;-52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;490;;;;81,67 %;;
2020-05-04;Mon, 4;5897;691;5033;173;34;0;34;0;-57,0 %;2;28;4;286;286;;19,3;19,3;;-87;284;507;1248;;;;;;;;;0,85;0,93;-14 %;-29,2 %;;-222;5895;2;-118;-54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;502;;;;83,67 %;;
2020-05-05;Tue, 5;5927;666;5082;179;30;0;30;0;-40,0 %;-25;49;6;266;266;;17,9;17,9;;-76;295;518;1259;;;;;;;;;0,82;0,88;-7 %;-33,3 %;;-211;5925;2;-133;-62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;481;;;;80,17 %;;
2020-05-06;Wed, 6;5946;628;5126;192;19;0;19;0;-53,7 %;-38;44;13;244;244;;16,4;16,4;;-51;320;543;1284;;;;;;;;;0,79;0,84;-8 %;-36,3 %;;-182;5944;2;-139;-75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;460;;;;76,67 %;;
2020-05-07;Thu, 7;5976;581;5201;194;30;0;30;0;-31,8 %;-47;75;2;230;230;;15,5;15,5;;-22;349;572;1313;;;;;;;;;0,75;0,80;-6 %;-34,3 %;;-179;5974;2;-120;-84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;447;;;;74,50 %;;
2020-05-08;Fri, 8;6019;568;5254;197;43;0;43;0;-27,1 %;-13;53;3;214;214;;14,4;14,4;;-32;339;562;1303;;;;;;;;;0,73;0,78;-7 %;-39,4 %;;-158;6017;2;-139;-101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;429;;;;71,50 %;;
2020-05-09;Sat, 9;6044;546;5301;197;25;0;24;1;-27,3 %;-22;47;0;206;205;;13,9;13,8;;-32;339;562;1303;;;;;;;;;0,73;0,77;-4 %;-39,5 %;;-167;6041;3;-134;-116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;400;;;;66,67 %;;
2020-05-10;Sun, 10;6066;535;5333;198;22;0;22;0;-12,0 %;-11;32;1;203;202;;13,7;13,6;;-19;352;575;1316;;;;;;;;;0,76;0,76;-1 %;-39,0 %;;-154;6063;3;-129;-130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;393;;;;65,50 %;;
2020-05-11;Mon, 11;6127;516;5410;201;61;0;61;0;79,4 %;-19;77;3;230;229;;15,5;15,4;;-50;321;544;1285;;;;;;;;;0,83;0,78;13 %;-19,9 %;;-175;6124;3;-57;-122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;382;;;;63,67 %;;
2020-05-12;Tue, 12;6154;493;5460;201;27;0;27;0;-10,0 %;-23;50;0;227;226;;15,3;15,2;;-58;313;536;1277;;;;;;;;;0,90;0,81;-1 %;-15,0 %;;-173;6151;3;-40;-108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;377;;;;62,83 %;;
2020-05-13;Wed, 13;6189;487;5501;201;35;0;35;0;84,2 %;-6;41;0;243;242;;16,4;16,3;;-63;308;531;1272;;;;;;;;;1,01;0,87;7 %;-0,8 %;;-141;6186;3;-2;-89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;315;;;;52,50 %;;
2020-05-14;Thu, 14;6212;466;5543;203;23;0;23;0;-23,3 %;-21;42;2;236;235;;15,9;15,8;;-43;328;551;1292;;;;;;;;;1,10;0,94;-3 %;2,2 %;;-115;6209;3;5;-71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;311;;;;51,83 %;;
2020-05-15;Fri, 15;6230;425;5602;203;18;0;18;0;-58,1 %;-41;59;0;211;210;;14,2;14,1;;-37;334;557;1298;;;;;;;;;1,07;0,97;-11 %;-1,9 %;;-143;6227;3;-4;-52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;289;;;;48,17 %;;
2020-05-16;Sat, 16;6239;401;5635;203;9;0;9;0;-62,5 %;-24;33;0;195;195;;13,1;13,1;;-24;347;570;1311;;;;;;;;;1,02;0,99;-7 %;-4,9 %;;-145;6236;3;-10;-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;277;;;;46,17 %;;
2020-05-17;Sun, 17;6250;387;5660;203;11;0;11;0;-50,0 %;-14;25;0;184;184;;12,4;12,4;;26;397;620;1361;;;;;;;;;0,92;0,98;-6 %;-8,9 %;;-148;6247;3;-18;-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;265;;;;44,17 %;;
2020-05-18;Mon, 18;6257;360;5694;203;7;0;7;0;-88,5 %;-27;34;0;130;130;;8,8;8,8;;46;417;640;1381;;;;;;;;;0,77;0,92;-29 %;-43,2 %;;-156;6254;3;-99;-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;268;;;;44,67 %;;
2020-05-19;Tue, 19;6269;342;5722;205;12;0;12;0;-55,6 %;-18;28;2;115;115;;7,7;7,7;;69;440;663;1404;;;;;;;;;0,68;0,85;-12 %;-49,1 %;;-151;6266;3;-111;-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;241;;;;40,17 %;;
2020-05-20;Wed, 20;6289;343;5735;211;20;0;20;0;-42,9 %;1;13;6;100;100;;6,7;6,7;;72;443;666;1407;;;;;;;;;0,60;0,76;-13 %;-58,7 %;;-144;6286;3;-142;-54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;247;;;;41,17 %;;
