Date;Day;MUC Total;Active Cases;MUC Recovered;Deaths (sum);MUC New Infections;Correction;RKI New Infections;Diff MUC RKI;Diff same day last week;Active Cases (change);Recovered (change);Death (change);Deaths 7D Sum;MUC 7 day sum;RKI 7 day sum;DIFF 7DI;MUC 7 Day Incidence;RKI 7 Day Incidence;Official RKI 7D Inc;To 10;To 35;To 50;To 100;Test Pos Rate BY;Daily Tests BY;Daily Test BY Pos;Daily test avg 7 days;Beds;IMC;ICU;SUM;Change over 7D;Diff 7 Day Incidence;Naive R(t) 4D;Naive R(t) 7D;Diff 7D DoD;Diff 7D WoW;Var Lab WoW;Active WoW;RKI Total;Diff Total;RKI 7D Diff last week;7D avg weekly chg;BAV 1st Vacc Total;BAV 2nd Vacc Total;BAV 3rd Vacc Total;BAV 4th Vacc Total;BAV 5th Vacc Total;BAV 6th Vacc Total;BAV 1st Vacc %;BAV 1st Vacc Day;BAV 1st Vacc Avg;BAV 1st Vacc 7D;BAV 2nd Vacc %;BAV 2nd Vacc Day;BAV 2nd Vacc Avg;BAV 2nd Vacc 7D;BAV 3rd Vacc %;BAV 3rd Vacc Day;BAV 3rd Vacc Avg;BAV 3rd Vacc 7D;BAV 4th Vacc %;BAV 4th Vacc Day;BAV 4th Vacc Avg;BAV 4th Vacc 7D;BAV 5th Vacc %;BAV 5th Vacc Day;BAV 5th Vacc Avg;BAV 5th Vacc 7D;BAV 6th Vacc %;BAV 6th Vacc Day;BAV 6th Vacc Avg;BAV 6th Vacc 7D;MUC 1st Vacc Total;MUC 1st Vacc Day;MUC 1st Vacc%;MUC 2nd Vacc Total;MUC 2nd Vacc Day;MUC 2nd Vacc%;MUC 3rd Vacc Total;MUC 3rd Vacc Day;MUC 3rd Vacc%;MUC 4th Vacc Total;MUC 4th Vacc Day;MUC 4th Vacc %;7D Hosp;7D Hosp Incidence;LGL ICU;IVENA Total;DIFF 7D Hosp;YELLOW %;RED %;7D DIFF TOTAL;ICU to Total %;7D Hosp Corrected;7D Hosp Inc Corr;R(t) LMU;7D Hosp Nowcast;Diff Hosp %;MUC HOSP GROWTH;MUC HOSP NORM GR
2020-02-28;Fri, 28;5;5;;0;2;0;5;-3;;;;;;;;;0,0;0,0;;147;518;741;1482;;;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;0,00 %;;;;0;0,00;;;;;
2020-02-29;Sat, 29;5;5;;0;0;0;0;0;;0;0;0;;2;5;;0,1;0,3;;144;515;738;1479;;;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;0,33 %;;;;4;0,03;;;;;
2020-03-01;Sun, 1;5;5;;0;0;0;0;0;;0;0;0;;2;5;;0,1;0,3;;144;515;738;1479;;;;;;;;;;;;;0 %;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;0,42 %;;;;5;0,04;;;;;
2020-03-02;Mon, 2;8;8;;0;3;0;3;0;;3;0;0;;5;8;;0,3;0,5;;141;512;735;1476;;;;;;;;;;;;;60 %;;;;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;0,83 %;;;;10;0,08;;;;;
2020-03-03;Tue, 3;9;9;;0;1;0;1;0;;1;0;0;;6;9;;0,4;0,6;;140;511;734;1475;;;;;;;;;;;;;13 %;;;;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;1,00 %;;;;12;0,09;;;;;
2020-03-04;Wed, 4;12;12;;0;3;0;3;0;;3;0;0;;9;12;;0,6;0,8;;137;508;731;1472;;;;;;;;;;;;;33 %;;;;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;1,33 %;;;;16;0,12;;;;;
2020-03-05;Thu, 5;14;14;;0;2;0;2;0;;2;0;0;;11;14;;0,7;0,9;;140;511;734;1475;;;;;;;;;;;;;17 %;;;;14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;1,83 %;;;;22;0,17;;59;268,2 %;;
2020-03-06;Fri, 6;27;27;;0;13;0;13;0;160,0 %;13;0;0;0;22;22;;1,5;1,5;;127;498;721;1462;;;;;;;;;;;;;57 %;;;;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;4,00 %;;;;48;0,37;;76;158,3 %;;
2020-03-07;Sat, 7;27;27;;0;0;0;0;0;0,0 %;0;0;0;0;22;22;;1,5;1,5;;127;498;721;1462;;;;;;;;;;;2,59;;0 %;340,0 %;;22;27;0;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;4,25 %;;;;51;0,39;;97;190,2 %;;
2020-03-08;Sun, 8;27;27;;0;0;0;0;0;0,0 %;0;0;0;0;22;22;;1,5;1,5;;130;501;724;1465;;;;;;;;;;;2,35;;0 %;340,0 %;;22;27;0;17;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;4,33 %;;;;52;0,40;6,15;103;198,1 %;;
2020-03-09;Mon, 9;50;50;;0;23;0;23;0;666,7 %;23;0;0;0;42;42;;2,8;2,8;;108;479;702;1443;;;;;;;;;;;2,51;2,70;91 %;425,0 %;;42;50;0;34;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;4,42 %;;;;53;0,40;2,40;108;203,8 %;;
2020-03-10;Tue, 10;81;81;;0;31;0;31;0;3000,0 %;31;0;0;0;72;72;;4,9;4,9;;80;451;674;1415;;;;;;;;;;;2,77;2,75;71 %;700,0 %;;72;81;0;63;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;5,75 %;;;;69;0,53;2,03;137;198,6 %;;
2020-03-11;Wed, 11;103;104;;0;22;0;23;-1;666,7 %;23;0;0;0;91;92;;6,1;6,2;;60;431;654;1395;;;;;;;;;;;3,26;3,11;28 %;666,7 %;;92;104;-1;80;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;6,42 %;;;;77;0,59;1,96;163;211,7 %;;
2020-03-12;Thu, 12;121;122;;0;18;0;18;0;800,0 %;18;0;0;0;107;108;;7,2;7,3;;54;425;648;1389;;;;;;;;;;;3,93;3,49;17 %;671,4 %;;108;122;-1;94;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;7,08 %;;;;85;0,65;1,97;177;208,2 %;;
2020-03-13;Fri, 13;169;170;;0;48;0;48;0;269,2 %;48;0;0;0;142;143;;9,6;9,6;;6;377;600;1341;;;;;;;;;;;3,84;3,50;32 %;550,0 %;;143;170;-1;121;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;6,92 %;;;;83;0,63;1,88;188;226,5 %;;
2020-03-14;Sat, 14;233;234;;0;64;0;64;0;6400,0 %;64;0;0;0;206;207;;13,9;13,9;;-58;313;536;1277;;;;;;;;;;;3,48;3,33;45 %;840,9 %;;207;234;-1;185;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;7,83 %;;;;94;0,72;1,79;209;222,3 %;;
2020-03-15;Sun, 15;252;245;8;0;19;0;19;0;1900,0 %;11;8;0;0;225;226;;15,2;15,2;;-54;317;540;1281;;;;;;;;;;;3,00;3,11;9 %;927,3 %;;218;253;-1;204;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;9,83 %;;;;118;0,90;1,82;237;200,8 %;;
2020-03-16;Mon, 16;319;309;11;0;67;0;67;0;191,3 %;64;3;0;0;269;270;;18,1;18,2;;-90;281;504;1245;;;;;;;;;;;2,69;2,94;19 %;542,9 %;;259;320;-1;228;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;11,67 %;;;;140;1,07;1,97;257;183,6 %;;
2020-03-17;Tue, 17;463;449;15;0;144;0;144;0;364,5 %;141;3;0;0;382;383;;25,7;25,8;;-211;160;383;1124;;;;;;;;;;;2,62;2,85;42 %;431,9 %;;368;464;-1;311;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;13,08 %;;;;157;1,19;2,18;291;185,4 %;;
2020-03-18;Wed, 18;675;658;18;0;212;0;212;0;821,7 %;209;3;0;0;572;572;;38,5;38,5;;-405;-34;189;930;;;;;;;;;;;2,64;2,78;49 %;521,7 %;;554;676;-1;480;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;18,75 %;;;;225;1,71;2,28;333;148,0 %;;
2020-03-19;Thu, 19;848;825;24;0;173;0;173;0;861,1 %;167;6;0;0;727;727;;49,0;49,0;;-530;-159;64;805;;;;;;;;;;;2,85;2,84;27 %;573,1 %;;703;849;-1;619;307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;;;;24,00 %;;;;288;2,19;2,32;412;143,1 %;;
2020-03-20;Fri, 20;1043;1010;34;0;195;0;195;0;306,3 %;185;10;0;0;874;874;;58,9;58,9;;-661;-290;-67;674;;;;;;;;;;;3,02;2,92;20 %;511,2 %;;840;1044;-1;731;394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;61;;;30,25 %;10,17 %;;;363;2,76;2,27;499;137,5 %;;
2020-03-21;Sat, 21;1219;1173;47;0;176;0;176;0;175,0 %;163;13;0;0;986;986;;66,4;66,4;;-818;-447;-224;517;;;;;;;;;;;2,91;2,83;13 %;376,3 %;;939;1220;-1;779;479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;67;;;40,92 %;11,17 %;;;491;3,74;2,08;611;124,4 %;;
2020-03-22;Sun, 22;1307;1245;63;2;88;0;88;0;363,2 %;73;15;2;2;1055;1055;;71,1;71,1;;-839;-468;-245;496;;;;;;;;;;;2,51;2,55;7 %;366,8 %;;1001;1308;-1;829;568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;82;;;46,08 %;13,67 %;;;553;4,21;1,89;702;126,9 %;;
2020-03-23;Mon, 23;1401;1318;83;2;94;0;93;1;38,8 %;73;20;0;2;1082;1081;;72,9;72,8;;-789;-418;-195;546;;;;;;;;;;;2,05;2,25;2 %;300,4 %;;1009;1401;0;811;651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;94;;;54,33 %;15,67 %;;;652;4,96;1,75;790;121,2 %;;
2020-03-24;Tue, 24;1570;1458;113;2;169;0;170;-1;18,1 %;140;30;0;2;1107;1107;;74,6;74,6;;-745;-374;-151;590;;;;;;;;;;;1,65;1,96;2 %;189,0 %;;1009;1571;-1;724;710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;123;;;68,00 %;20,50 %;;;816;6,21;1,64;923;113,1 %;;
2020-03-25;Wed, 25;1809;1665;145;2;239;0;239;0;12,7 %;207;32;0;2;1134;1134;;76,4;76,4;;-812;-441;-218;523;;;;;;;;;;;1,39;1,72;2 %;98,3 %;;1007;1810;-1;562;722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;132;;;81,83 %;22,00 %;;;982;7,47;1,55;1056;107,5 %;;
2020-03-26;Thu, 26;2066;1884;183;3;257;0;257;0;48,6 %;218;39;1;3;1218;1218;;82,1;82,1;;-874;-503;-280;461;;;;;;;;;;;1,25;1,53;7 %;67,5 %;;1058;2067;-1;491;704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;145;;;95,00 %;24,17 %;;;1140;8,68;1,45;1176;103,2 %;;
2020-03-27;Fri, 27;2323;2087;238;3;257;0;258;-1;32,3 %;203;55;0;3;1280;1281;;86,2;86,3;;-955;-584;-361;380;;;;;;;;;;;1,19;1,38;5 %;46,6 %;;1077;2325;-2;407;658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;160;;;107,58 %;26,67 %;;;1291;9,82;1,33;1299;100,6 %;;
2020-03-28;Sat, 28;2462;2144;320;3;139;0;139;0;-21,0 %;57;82;0;3;1243;1244;;83,7;83,8;;-1007;-636;-413;328;;;;;;;;;;;1,15;1,27;-3 %;26,2 %;;971;2464;-2;258;583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;195;;;114,83 %;32,50 %;;;1378;10,49;1,18;1431;103,8 %;;
2020-03-29;Sun, 29;2640;2218;424;3;178;0;178;0;102,3 %;74;104;0;1;1333;1334;;89,8;89,9;;-1092;-721;-498;243;;;;;;;;;;;1,16;1,21;7 %;26,4 %;;973;2642;-2;279;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;219;;;121,92 %;36,50 %;;;1463;11,13;1,04;1523;104,1 %;;
2020-03-30;Mon, 30;2754;2206;549;5;114;0;113;1;21,5 %;-12;125;2;3;1353;1354;;91,2;91,2;;-1036;-665;-442;299;;;;;;;;;;;1,15;1,16;1 %;25,3 %;;888;2755;-1;273;428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;257;;;128,08 %;42,83 %;;;1537;11,70;0,93;1587;103,3 %;;
2020-03-31;Tue, 31;3064;2376;689;5;310;0;310;0;82,4 %;169;141;0;3;1494;1494;;100,7;100,7;;-1106;-735;-512;229;;;;;;;;;;;1,14;1,15;10 %;35,0 %;;917;3065;-1;387;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;378;;;138,83 %;63,00 %;;;1666;12,68;0,87;1717;103,1 %;;
2020-04-01;Wed, 1;3295;2456;840;9;231;0;231;0;-3,3 %;80;151;4;7;1486;1486;;100,1;100,1;;-1080;-709;-486;255;;;;;;;;;;;1,16;1,16;-1 %;31,0 %;;791;3296;-1;352;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;459;;;145,08 %;76,50 %;;;1741;13,25;0,85;1754;100,7 %;;
2020-04-02;Thu, 2;3438;2444;995;9;143;0;143;0;-44,4 %;-11;154;0;6;1372;1372;;92,4;92,4;;-965;-594;-371;370;;;;;;;;;;;1,12;1,14;-8 %;12,6 %;;561;3439;-1;154;301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;534;;;152,17 %;89,00 %;;;1826;13,90;0,87;1776;97,3 %;;
2020-04-03;Fri, 3;3616;2463;1153;12;178;0;177;1;-31,4 %;19;158;3;9;1293;1291;;87,1;87,0;;-1004;-633;-410;331;;;;;;;;;;;1,08;1,10;-6 %;0,8 %;;376;3616;0;10;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;587;;;152,33 %;97,83 %;;;1828;13,91;0,90;1780;97,4 %;;
2020-04-04;Sat, 4;3751;2435;1315;12;135;0;134;1;-3,6 %;-28;162;0;9;1289;1286;;86,8;86,6;;-960;-589;-366;375;;;;;;;;;;;1,00;1,06;-0 %;3,4 %;;291;3750;1;42;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;641;;;151,67 %;106,83 %;;;1820;13,85;0,91;1736;95,4 %;;
2020-04-05;Sun, 5;3835;2345;1489;14;84;0;84;0;-52,8 %;-90;174;2;11;1195;1192;;80,5;80,3;;-930;-559;-336;405;;;;;;;;;;;0,91;1,01;-7 %;-10,6 %;;127;3834;1;-142;154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;636;;;149,75 %;106,00 %;;;1797;13,68;0,90;1671;93,0 %;;
2020-04-06;Mon, 6;3953;2280;1672;16;118;0;118;0;4,4 %;-65;183;2;11;1199;1197;;80,8;80,6;;-738;-367;-144;597;;;;;;;;;;;0,87;0,97;0 %;-11,6 %;;74;3952;1;-157;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;626;;;149,42 %;104,33 %;;;1793;13,65;0,87;1622;90,5 %;;
2020-04-07;Tue, 7;4094;2244;1849;18;141;0;141;0;-54,5 %;-37;178;2;13;1030;1028;;69,4;69,3;;-648;-277;-54;687;;;;;;;;;;;0,83;0,92;-14 %;-31,2 %;;-132;4093;1;-466;-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;645;;;141,17 %;107,50 %;;;1694;12,89;0,87;1501;88,6 %;;
2020-04-08;Wed, 8;4251;2207;2040;24;157;0;154;3;-33,3 %;-37;191;6;15;956;951;;64,4;64,1;;-662;-291;-68;673;;;;;;;;;;;0,80;0,86;-7 %;-36,0 %;;-249;4247;4;-535;-156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;661;;;133,92 %;110,17 %;;;1607;12,23;0,86;1444;89,9 %;;
2020-04-09;Thu, 9;4363;2126;2233;32;112;0;112;0;-21,7 %;-81;193;8;23;925;920;;62,3;62,0;;-594;-223;0;741;;;;;;;;;;;0,80;0,83;-3 %;-32,9 %;;-319;4359;4;-452;-243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;661;;;124,17 %;110,17 %;;;1490;11,34;0,85;1360;91,3 %;;
2020-04-10;Fri, 10;4461;2010;2447;42;98;0;98;0;-44,6 %;-115;213;10;30;845;841;;56,9;56,7;;-558;-187;36;777;;;;;;;;;;;0,75;0,80;-9 %;-34,9 %;;-453;4457;4;-450;-309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;630;;;114,25 %;105,00 %;;;1371;10,43;0,84;1286;93,8 %;;
2020-04-11;Sat, 11;4565;1902;2659;44;104;0;104;0;-22,4 %;-108;212;2;32;814;811;;54,8;54,6;;-578;-207;16;757;;;;;;;;;;;0,75;0,78;-4 %;-36,9 %;;-533;4561;4;-475;-382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;649;;;108,58 %;108,17 %;;;1303;9,92;0,82;1175;90,2 %;;
2020-04-12;Sun, 12;4637;1778;2855;51;72;0;72;0;-14,3 %;-124;196;7;37;802;799;;54,0;53,8;;-532;-161;62;803;;;;;;;;;;;0,77;0,79;-1 %;-33,0 %;;-567;4633;4;-393;-418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;668;;;104,08 %;111,33 %;;;1249;9,51;0,79;1151;92,2 %;;
2020-04-13;Mon, 13;4698;1654;3040;52;61;0;61;0;-48,3 %;-123;184;1;36;745;742;;50,2;50,0;;-452;-81;142;883;;;;;;;;;;;0,78;0,77;-7 %;-38,0 %;;-626;4694;4;-455;-461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;672;;;97,08 %;112,00 %;;;1165;8,87;0,74;1116;95,8 %;;
2020-04-14;Tue, 14;4784;1557;3223;63;86;0;86;0;-39,0 %;-98;184;11;45;690;687;;46,5;46,3;;-384;-13;210;951;;;;;;;;;;;0,81;0,78;-7 %;-33,2 %;;-687;4780;4;-341;-443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;676;;;94,75 %;112,67 %;;;1137;8,65;0,72;1007;88,6 %;;
2020-04-15;Wed, 15;4892;1494;3394;67;108;0;108;0;-29,9 %;-62;170;4;43;641;641;;43,2;43,2;;-380;-9;214;955;;;;;;;;;;;0,81;0,78;-7 %;-32,6 %;;-713;4888;4;-310;-411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;662;;;89,83 %;110,33 %;;;1078;8,20;0,73;960;89,1 %;;
2020-04-16;Thu, 16;4986;1418;3565;78;94;0;95;-1;-15,2 %;-76;171;11;46;623;624;;42,0;42,0;;-376;-5;218;959;;;;;;;;;;;0,80;0,79;-3 %;-32,2 %;;-707;4983;3;-296;-389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;650;;;85,25 %;108,33 %;;;1023;7,79;0,75;914;89,3 %;;
2020-04-17;Fri, 17;5079;1365;3711;87;93;0;93;0;-5,1 %;-54;147;9;45;618;619;;41,6;41,7;;-366;5;228;969;;;;;;;;;;;0,81;0,81;-1 %;-26,4 %;;-646;5076;3;-222;-356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;683;;;84,42 %;113,83 %;;;1013;7,71;0,78;876;86,5 %;;
2020-04-18;Sat, 18;5125;1275;3847;94;46;0;46;0;-55,8 %;-90;136;7;50;560;561;;37,7;37,8;;-340;31;254;995;;;;;;;;;;;0,80;0,81;-9 %;-30,8 %;;-627;5122;3;-250;-324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;681;;;78,75 %;113,50 %;;;945;7,19;0,81;857;90,7 %;;
2020-04-19;Sun, 19;5174;1192;3979;99;49;0;49;0;-31,9 %;-82;131;5;48;537;538;;36,2;36,2;;-328;43;266;1007;;;;;;;;;;;0,82;0,81;-4 %;-32,7 %;;-586;5171;3;-261;-305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;695;;;77,58 %;115,83 %;;;931;7,09;0,80;791;85,0 %;;
2020-04-20;Mon, 20;5206;1104;4099;105;32;0;32;0;-47,5 %;-88;120;6;53;508;509;;34,2;34,3;;-274;97;320;1061;;;;;;;;;;;0,83;0,81;-5 %;-31,4 %;;-550;5203;3;-233;-273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;716;;;75,17 %;119,33 %;;;902;6,86;0,78;748;82,9 %;;
2020-04-21;Tue, 21;5261;1043;4215;108;55;0;55;0;-36,0 %;-61;116;3;45;477;478;;32,1;32,2;;-221;150;373;1114;;;;;;;;;;;0,81;0,81;-6 %;-30,4 %;;-513;5258;3;-209;-254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;707;;;65,42 %;117,83 %;;;785;5,97;0,78;725;92,4 %;;
2020-04-22;Wed, 22;5318;986;4329;116;57;0;57;0;-47,2 %;-57;114;8;49;426;427;;28,7;28,8;;-183;188;411;1152;;;;;;;;;;;0,80;0,80;-11 %;-33,4 %;;-508;5315;3;-214;-241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;696;;;58,58 %;116,00 %;;;703;5,35;0,80;666;94,7 %;;
2020-04-23;Thu, 23;5395;957;4435;130;77;0;77;0;-18,9 %;-29;106;14;52;409;409;;27,6;27,6;;-167;204;427;1168;;;;;;;;;;;0,78;0,80;-4 %;-34,5 %;;-461;5392;3;-215;-229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;682;;;54,00 %;113,67 %;;;648;4,93;0,82;634;97,8 %;;
2020-04-24;Fri, 24;5451;915;4533;137;56;0;56;0;-39,8 %;-42;98;7;50;372;372;;25,1;25,1;;-177;194;417;1158;;;;;;;;;;;0,76;0,79;-9 %;-39,9 %;;-450;5448;3;-247;-233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;658;;;49,83 %;109,67 %;;;598;4,55;0,82;579;96,8 %;;
2020-04-25;Sat, 25;5498;870;4625;138;47;0;47;0;2,2 %;-45;92;1;44;373;373;;25,1;25,1;;-175;196;419;1160;;;;;;;;;;;0,76;0,78;0 %;-33,5 %;;-404;5495;3;-188;-224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;651;;;45,92 %;108,50 %;;;551;4,19;0,83;516;93,6 %;;
2020-04-26;Sun, 26;5531;814;4714;142;33;0;33;0;-32,7 %;-56;89;4;43;357;357;;24,1;24,1;;-176;195;418;1159;;;;;;;;;;;0,77;0,78;-4 %;-33,6 %;;-378;5528;3;-181;-212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;647;;;41,33 %;107,83 %;;;496;3,77;0,82;488;98,4 %;;
2020-04-27;Mon, 27;5611;805;4802;143;80;0;79;1;146,9 %;-9;88;1;38;405;404;;27,3;27,2;;-201;170;393;1134;;;;;;;;;;;0,83;0,80;13 %;-20,6 %;;-299;5607;4;-105;-194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;621;;;39,58 %;103,50 %;;;475;3,61;0,80;458;96,4 %;;
2020-04-28;Tue, 28;5661;775;4882;157;50;0;50;0;-9,1 %;-30;80;14;49;400;399;;27,0;26,9;;-193;178;401;1142;;;;;;;;;;;0,91;0,83;-1 %;-16,5 %;;-269;5657;4;-79;-176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;580;;;38,08 %;96,67 %;;;457;3,48;0,77;435;95,2 %;;
2020-04-29;Wed, 29;5702;739;4959;158;41;0;41;0;-28,1 %;-36;77;1;42;384;383;;25,9;25,8;;-157;214;437;1178;;;;;;;;;;;0,98;0,87;-4 %;-10,3 %;;-247;5698;4;-44;-151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;554;;;33,58 %;92,33 %;;;403;3,07;0,77;393;97,5 %;;
2020-04-30;Thu, 30;5746;710;5032;166;44;0;44;0;-42,9 %;-29;73;8;36;351;350;;23,6;23,6;;-145;226;449;1190;;;;;;;;;;;1,02;0,90;-9 %;-14,4 %;;-247;5742;4;-59;-129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;530;;;30,00 %;88,33 %;;;360;2,74;0,80;342;95,0 %;;
2020-05-01;Fri, 1;5805;701;5100;168;59;0;59;0;5,4 %;-9;68;2;31;354;353;;23,9;23,8;;-157;214;437;1178;;;;;;;;;;;0,99;0,93;1 %;-5,1 %;;-214;5801;4;-19;-96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;520;;;27,58 %;86,67 %;;;331;2,52;0,84;307;92,7 %;;
2020-05-02;Sat, 2;5838;673;5161;169;33;0;33;0;-29,8 %;-28;61;1;31;340;339;;22,9;22,8;;-157;214;437;1178;;;;;;;;;;;0,93;0,94;-4 %;-9,1 %;;-198;5834;4;-34;-74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;0,00;501;;;25,67 %;83,50 %;;;308;2,34;0,85;275;89,3 %;;
